tick,energy,eats,distance
0,30,0,0
1,29,0,0
2,27,0,1
3,25,0,2
4,23,0,3
5,21,0,4
6,19,0,5
7,17,0,6
8,15,0,7
9,13,0,8
10,11,0,9
11,9,0,10
12,7,0,11
13,5,0,12
14,3,0,13
15,1,0,14
16,29,1,14
17,27,1,15
18,29,2,15
19,27,2,16
20,25,2,17
21,23,2,18
22,21,2,19
23,19,2,20
24,17,2,21
25,15,2,22
26,13,2,23
27,11,2,24
28,9,2,25
29,29,3,25
30,27,3,26
31,25,3,27
32,29,4,27
33,27,4,28
34,25,4,29
35,23,4,30
36,21,4,31
37,19,4,32
38,17,4,33
39,15,4,34
40,13,4,35
41,11,4,36
42,9,4,37
43,7,4,38
44,5,4,39
45,3,4,40
46,1,4,41
47,0,4,42
